ID,phase,durata,DistTOT,HSR,ACC,DEC,RPE,sRPE
1,1,328,18709.1,6862.3,284,287,13,1433
1,2,305,17323.5,5029.9,244,240,11,1137
1,3,332,19047.8,6248.8,265,225,10,1099
1,4,308,20898,7203.2,285,199,10,1040
2,1,305,17639.6,5223.5,245,261,13,1323
2,2,331,20862.9,6503.4,296,222,15.5,1736
2,3,328,20803.9,6718.9,298,249,17,1877
2,4,305,18129.5,4344,230,269,13.5,1453
3,1,294,18322.7,4905.6,251,180,17,1700
3,2,321,19021.5,5561.9,228,162,13,1403
3,3,322,22402.1,6727.8,252,206,14,1513
3,4,339,21605.8,6096.3,322,297,15,1710
4,1,322,18217.7,5037.1,216,196,11,1190
4,2,311,21817.8,6021.8,238,220,12,1243
4,3,339,24084,7708.2,223,236,14,1599
4,4,306,18587.5,4939.4,211,237,17,1729
5,1,305,16927.4,5027.3,222,166,13,1321
5,2,328,19940,6630.3,329,265,14,1556
5,3,304,19307.1,4953.2,305,265,15,1592
5,4,332,19211.6,5200.5,312,231,15,1656
6,1,332,20028.2,5607.7,230,183,12,1308
6,2,283,18521,4424.3,194,169,13,1271
6,3,328,19701.2,6685.8,221,211,13,1433
6,4,294,16816.8,3847.5,246,186,11,1104
7,1,305,18549.8,4816.3,244,242,17,1739
7,2,264,15340.1,3913.9,190,200,15,1322
7,3,332,20741.5,6271.1,195,157,17,1926
7,4,328,19912.3,6555,242,190,20,2211
8,1,332,20328,5924.6,283,259,9,976
8,2,333,20999.8,6549.9,233,219,14,1540
8,3,328,20545,7181.7,308,313,8,887
8,4,281,17672.4,5198.4,271,289,9,843
9,1,341,20298.9,4245.3,181,167,19,2163
9,2,264,16634.2,4859.8,254,208,18,1584
9,3,309,18385.8,5316.8,287,248,18,1874
9,4,318,21463.6,5864.7,271,271,17,1822
10,1,341,18560.7,4313.6,205,200,11,1259
10,2,327,21778.2,7357.3,345,333,15,1659
10,3,305,19968.8,4970.5,240,288,7,733
10,4,283,16812.7,5862.8,265,251,11,1055
11,1,253,16363,4622.35,309,380,10,827
11,2,266,20204,5592,300,300,16,1394
11,3,316,22383,6324.9,287,346,17,1752
11,4,268,23462,6322.5,276,292,19,1709
12,1,253,15546,4402.9,397,448,12,1029
12,2,320,20522,5740,331,371,14,1488
12,3,270,20060,5542.5,321,369,15,1356
12,4,282,19040,5148.8,302,314,14,1314
13,1,332,22490.2,7680.2,346,307,10,1105
13,2,343,23732.2,7633.1,305,235,9,1026
13,3,327,21072.9,7632.9,265,273,18,1986
13,4,305,22216.8,7329.7,338,337,15,1549
14,1,287,16231.5,4167.5,169,164,8,760
14,2,271,17709.3666666667,4680.2,186,166,11,1022
14,3,310,18744.5333333333,4286,200,216,12,1236
14,4,305,17410.4,4367.1,231,189,17,1755
15,1,315,17022.1,4035.86666666667,175,168,8,858
15,2,311,18745.4,5287.2,264,265,12,1241
15,3,297,17696.8,4763.2,184,160,9,875
15,4,302,16191.3,4288.5,240,249,8,804
16,1,289,17864.2666666667,5154.76666666667,228,213,13.5,1333
16,2,271,19349.125,4801.5,226,216,15,1380
16,3,311,20790.1,6016.2,301,289,15,1551
16,4,293,17714.5,4393.6,248,232,15,1479
